Time resolution is 1 ps
Time: 815000 | PC: 00000144 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 825000 | PC: 00000148 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 835000 | PC: 0000014c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 845000 | PC: 00000150 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 855000 | PC: 00000154 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 865000 | PC: 00000158 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 875000 | PC: 0000015c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 885000 | PC: 00000160 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 895000 | PC: 00000164 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 905000 | PC: 00000168 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 915000 | PC: 0000016c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 925000 | PC: 00000170 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 935000 | PC: 00000174 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 945000 | PC: 00000178 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 955000 | PC: 0000017c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 965000 | PC: 00000180 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 975000 | PC: 00000184 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 985000 | PC: 00000188 | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
Time: 995000 | PC: 0000018c | Instruction: xxxxxxxx | RegWrite: 0 | ALUResult: xxxxxxxx
